,lat,lon,Rt_ssp5
97,-26.43445631319065,-58.3981938785465,2.8172691138478405
98,-26.26338772022774,-58.397324638292766,2.7144176165949063
99,-26.24628144084306,-58.39722515411772,3.162277660168379
100,-26.451424178142986,-58.40724931437579,3.162277660168379
101,-26.434312445439655,-58.407174925119165,2.8172691138478405
102,-26.26320034309203,-58.40630538114345,2.5873402367724454
103,-26.451284577311203,-58.41623037404536,3.162277660168379
104,-26.263012852529677,-58.41528611093944,2.7144176165949063
105,-26.4511448919482,-58.42521142082965,2.8172691138478405
106,-26.434024448583013,-58.425136979565316,2.8172691138478405
107,-26.26282524844491,-58.42426682768242,2.5873402367724454
108,-26.433880319330207,-58.43411798744247,2.8172691138478405
109,-26.4167556039924,-58.434041233110364,2.8172691138478405
110,-26.262637530741845,-58.43324753137416,2.5873402367724454
