,geometry,Rt_ssp5
56,POINT Z (-26.7679471317148 -57.10576029323553 0),3.54953665975557
57,POINT Z (-26.76789097463126 -57.11474354880993 0),3.54953665975557
58,POINT Z (-26.46139143904179 -57.75159703138884 0),3.3833625914958207
59,POINT Z (-26.47806293097877 -57.76064935985735 0),3.3833625914958207
60,POINT Z (-26.46125782149232 -57.76057903662532 0),3.3833625914958207
61,POINT Z (-26.44445279153723 -57.76050648515758 0),3.3833625914958207
62,POINT Z (-26.4947427604491 -57.76969949489007 0),3.3833625914958207
63,POINT Z (-26.47793340387287 -57.76963137638055 0),3.3833625914958207
64,POINT Z (-26.44431492454721 -57.7694884523014 0),3.2598444275495893
65,POINT Z (-26.51143093254077 -57.77874743419287 0),3.3833625914958207
66,POINT Z (-26.49461732874933 -57.77868152195558 0),3.3833625914958207
67,POINT Z (-26.44417697547789 -57.77847040641669 0),3.1072325059538586
68,POINT Z (-26.42736368536942 -57.77839557503322 0),3.2598444275495893
69,POINT Z (-26.49449182235532 -57.78766353603047 0),3.3833625914958207
70,POINT Z (-26.42722147934526 -57.78737749025137 0),3.2598444275495893
71,POINT Z (-26.49436624120527 -57.79664553711653 0),3.3833625914958207
72,POINT Z (-26.42707918861973 -57.79635939243165 0),3.2598444275495893
73,POINT Z (-26.41025763118117 -57.7962822780219 0),3.2598444275495893
74,POINT Z (-26.39343616100228 -57.79620293236292 0),3.3833625914958207
75,POINT Z (-26.49424058523731 -57.80562752521563 0),3.3833625914958207
76,POINT Z (-26.47741452366262 -57.80555931245068 0),3.3833625914958207
77,POINT Z (-26.4605885394583 -57.80548886757455 0),3.3833625914958207
78,POINT Z (-26.44376263511488 -57.80541619060885 0),3.3833625914958207
79,POINT Z (-26.42693681312273 -57.80534128157584 0),3.2598444275495893
80,POINT Z (-26.4101110759722 -57.80526414049858 0),3.3833625914958207
81,POINT Z (-26.39328542615355 -57.80518476740061 0),3.3833625914958207
82,POINT Z (-26.46045444373284 -57.81447079473028 0),3.3833625914958207
83,POINT Z (-26.44362435704873 -57.8143980926276 0),3.3833625914958207
84,POINT Z (-26.43474378770529 -58.38023174669271 0),3.162277660168379
85,POINT Z (-26.41764518812039 -58.38015515309316 0),3.162277660168379
86,POINT Z (-26.40054667803611 -58.38007627726223 0),2.8172691138478405
87,POINT Z (-26.38344826007942 -58.37999511922486 0),2.8172691138478405
88,POINT Z (-26.36634993687721 -58.37991167900657 0),2.8172691138478405
89,POINT Z (-26.34925171105628 -58.37982595663366 0),2.8172691138478405
