fid,country,region,UN_c,UN_1,UN_3,UN_5,NC_c,NC_1,NC_3,NC_5,pop_c,pop_1,pop_3,pop_5
10504,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10505,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10506,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10507,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10508,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10509,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10510,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10511,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10512,Canada,North America,31688.421875,32426.66796875,31647.826171875,32536.287109375,0.878097044432215,0.877358606805869,0.878253213023185,0.874835371181297,0,,,
10513,Canada,North America,83769.7734375,84860.703125,82975.65625,86148.0859375,0.914064137966055,0.914688060700058,0.914878789149453,0.911624327918985,0,,,
10514,Canada,North America,54714.484375,55404.69921875,53914.6953125,56695.15625,0.9617137655407,0.961933334557169,0.96227341463389,0.960327798576752,0,,,
10515,Canada,North America,127778.2421875,129902.6640625,126151.78125,133828.71875,0.910293719842162,0.910770657774711,0.911435571209245,0.906046003358416,0,,,
10516,Canada,North America,165466.015625,171171.625,166779.03125,176997.625,0.859416059087969,0.85972575814273,0.858300489160547,0.849618524017869,0,,,
10517,Canada,North America,21984.4375,23573.80859375,23026.16796875,24416.296875,0.881288646468301,0.878737920901268,0.875663520332573,0.868157115674984,0,,,
10518,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10519,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10520,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10521,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10522,Canada,North America,87.0424575805664,147.949142456055,146.886474609375,148.360229492188,0.998263002640034,0.997238275280786,0.997068770509208,0.997039360627964,0,,,
10523,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10524,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10525,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10645,Finland,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10646,Finland,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10647,Finland,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10648,Finland,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10649,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10650,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10651,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10652,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10653,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10654,Russia,Eurasia,114366.1875,119301.4375,121097.1015625,120417.828125,0.922539237534333,0.923213376866683,0.917980357442504,0.918440432570841,14052.6650390625,8378.8544921875,11725.3740234375,9200.080078125
10655,Russia,Eurasia,79378.9375,92138.8046875,86831.4296875,85177.8828125,0.967980779538081,0.964673666774499,0.96497465476673,0.965641648853602,10800.552734375,6474.681640625,9086.2236328125,7197.25390625
10656,Russia,Eurasia,24809.8984375,27129.41015625,26911.6953125,26575.857421875,0.991484976443302,0.990955105556763,0.990763617186346,0.990878880356694,17020.78125,10167.7314453125,14271.216796875,11080.2958984375
10657,Russia,Eurasia,2092.19116210937,2508.28295898437,2302.86987304687,2160.94702148437,0.999168932282965,0.999028500792407,0.999085245725781,0.999141620832597,14423.9384765625,8624.1025390625,12022.123046875,9384.376953125
10658,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,498.283447265625,,,
10659,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10660,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10661,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10662,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10663,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10664,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10665,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10666,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10667,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.23012351989746,,,
10668,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10669,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10670,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,648.965698242187,,,
10671,Russia,Eurasia,7.39520835876465,7.64380788803101,7.7641339302063,7.85324192047119,0.99998349246771,0.999983616016153,0.999982668954634,0.999982470048403,1376.94641113281,864.85791015625,1181.5,984.4287109375
10672,Russia,Eurasia,3258.76953125,3408.73657226562,3455.16259765625,3488.87353515625,0.998763565072986,0.99877632767722,0.998689050062213,0.998676259534945,17449.96875,10914.9326171875,14390.0576171875,11286.5419921875
10673,Russia,Eurasia,29471.92578125,31412.375,31713.86328125,32115.5859375,0.991585943625295,0.991625624398329,0.990945884042709,0.990831194656553,23797.265625,14767.1376953125,19640.849609375,15304.716796875
10674,Russia,Eurasia,18539.814453125,19397.71875,19513.5546875,19801.671875,0.995018025722958,0.995048285216066,0.994756364592937,0.994678942436393,25480.087890625,15961.927734375,20961.8046875,16344.478515625
10675,Russia,Eurasia,28070.59375,31133.712890625,31402.052734375,31877.314453125,0.992590565682639,0.992490380483872,0.991711203217222,0.991585754481795,18427.28125,11228.3623046875,15450.1875,12032.671875
10676,Russia,Eurasia,99224.765625,107319.96875,107879.765625,109085.0234375,0.974502081949436,0.974309009833114,0.972277995257594,0.971968278578101,12613.4453125,7555.04541015625,10696.806640625,8449.2109375
10677,Russia,Eurasia,159199.84375,169298.6875,171265.09375,173261.3125,0.960019740586376,0.959999331938773,0.956989763838109,0.956488448374529,15738.46484375,9592.654296875,13496.3779296875,10694.16796875
10678,Russia,Eurasia,236896.5,241252.9375,250966.484375,250710.84375,0.942220866136403,0.942581798520854,0.938789192343578,0.938851543175663,19980.978515625,12038.8388671875,16789.41015625,13291.1865234375
10679,Russia,Eurasia,291296.09375,297750.96875,310316.75,309851.21875,0.892765960687503,0.893655886658795,0.885763938196215,0.885935312950064,18087.3046875,10929.857421875,15171.9296875,11959.0791015625
10680,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10681,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10682,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10683,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10684,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10685,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10686,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10687,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10691,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10692,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10693,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10694,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10695,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10696,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10697,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10698,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10699,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10700,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10701,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10702,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10703,Russia,Eurasia,564.556396484375,915.078735351563,926.171264648437,932.25,0.993175202784537,0.989117953930968,0.988803720748934,0.988730236263842,6.20277976989746,4.13518619537354,6.20277976989746,4.13518619537354
10704,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,10.5709352493286,,,
10705,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10706,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10707,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10708,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10709,Russia,Eurasia,21183.005859375,21709.97265625,22211.45703125,21961.55859375,0.933261061372286,0.93266358121797,0.930020834744535,0.930808161934745,102.028198242188,68.018798828125,100.435913085938,68.018798828125
10710,Russia,Eurasia,77976.453125,80271.34375,82712.2578125,81983.5625,0.918892988586852,0.918074268509718,0.913967053263482,0.914725003858297,413.168884277344,277.072296142578,411.968444824219,278.293029785156
10711,Russia,Eurasia,94299.0625,95523.40625,99255.015625,98484.34375,0.93489040653595,0.934839848050334,0.931468526353465,0.932000643334749,544.017700195313,362.678466796875,544.017700195313,362.678466796875
