,2015,SSP1,SSP3,SSP5,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5
92,181340.95313454556,-0.2558431584142628,-0.08986324670638737,-0.7518355064976641,23.0,60.0,22.0,60.0,22.0,61.0,23.0,61.0,23.0,60.0
93,164322.78474279496,-1.3167818836387932,-0.723349961923374,-1.8932755839660538,24.0,60.0,23.0,60.0,23.0,61.0,24.0,61.0,24.0,60.0
94,7780.862551132624,-0.15275352565776965,0.41796806688721283,-2.3417586834502306,25.0,60.0,24.0,60.0,24.0,61.0,25.0,61.0,25.0,60.0
95,13427.872712199081,-1.4550284332798515,-0.750829807526136,-4.658068378063096,26.0,60.0,25.0,60.0,25.0,61.0,26.0,61.0,26.0,60.0
96,33942.53856011759,-3.1210412993491055,-1.874927210048356,-4.688324454926807,27.0,60.0,26.0,60.0,26.0,61.0,27.0,61.0,27.0,60.0
97,18133.991606786698,-0.6903535560008309,-0.4509687598994566,-3.0675417712623676,28.0,60.0,27.0,60.0,27.0,61.0,28.0,61.0,28.0,60.0
98,48.441905768147414,2230.1288676136332,2229.5389797112243,2219.0838891817652,29.0,60.0,28.0,60.0,28.0,61.0,29.0,61.0,29.0,60.0
99,53.18320368828479,0.0,0.0,0.0,30.0,60.0,29.0,60.0,29.0,61.0,30.0,61.0,30.0,60.0
100,148.70090646208834,-0.014347706820884385,-0.014347706820884385,-0.014347706820884385,31.0,60.0,30.0,60.0,30.0,61.0,31.0,61.0,31.0,60.0
102,187.66510922056548,0.0,0.0,0.0,33.0,60.0,32.0,60.0,32.0,61.0,33.0,61.0,33.0,60.0
107,582.3733092231613,0.0,0.0,0.0,38.0,60.0,37.0,60.0,37.0,61.0,38.0,61.0,38.0,60.0
127,0.1790438257527714,-0.36547136953353077,-0.36547136953353077,-0.36547136953353077,-3.0,59.0,-4.0,59.0,-4.0,60.0,-3.0,60.0,-3.0,59.0
128,3214.553416788281,1.8996943093615055,-0.24625026964846136,-26.33922061132416,6.0,59.0,5.0,59.0,5.0,60.0,6.0,60.0,6.0,59.0
129,2.3795738275458977,-54.42417740171637,-1.3147041566278008,-0.18641733127745252,7.0,59.0,6.0,59.0,6.0,60.0,7.0,60.0,7.0,59.0
130,12715.158647491884,0.09624509763643732,0.09620640746801752,-11.379949023339488,10.0,59.0,9.0,59.0,9.0,60.0,10.0,60.0,10.0,59.0
131,83497.40875452239,-0.18804844722694347,-0.23054806687314955,-6.7528751575137065,11.0,59.0,10.0,59.0,10.0,60.0,11.0,60.0,11.0,59.0
132,84639.34194883177,0.10960821468655947,0.11673060914554147,-4.592570064022957,12.0,59.0,11.0,59.0,11.0,60.0,12.0,60.0,12.0,59.0
135,19455.69143670585,-0.23797036228258736,-0.20826233323307183,-1.122741115371216,15.0,59.0,14.0,59.0,14.0,60.0,15.0,60.0,15.0,59.0
136,31715.083949325293,0.21635418739324036,0.08099339276492727,-1.010528196186651,16.0,59.0,15.0,59.0,15.0,60.0,16.0,60.0,16.0,59.0
137,35591.69707587177,0.10437393063973106,0.1737051449447371,-3.4203329935958573,17.0,59.0,16.0,59.0,16.0,60.0,17.0,60.0,17.0,59.0
138,111566.9264676046,-0.11846726752213846,-0.11494047278090141,-2.080422643135614,18.0,59.0,17.0,59.0,17.0,60.0,18.0,60.0,18.0,59.0
139,24056.080295313583,1.9337662605642467,2.235184239532488,-0.9692465641511053,19.0,59.0,18.0,59.0,18.0,60.0,19.0,60.0,19.0,59.0
140,9.63582598693904,-2.214830591475182,-2.214830591475182,-2.52224901950904,24.0,59.0,23.0,59.0,23.0,60.0,24.0,60.0,24.0,59.0
141,137.62793189013323,2.2859711159948692,2.165762100549306,0.7291038543492517,25.0,59.0,24.0,59.0,24.0,60.0,25.0,60.0,25.0,59.0
142,4356.14306250409,0.385955987122467,0.3564989393366465,0.9394350519101676,26.0,59.0,25.0,59.0,25.0,60.0,26.0,60.0,26.0,59.0
143,12280.02918670491,-0.9539537734658701,-1.0567577709998432,-1.3833851738863314,27.0,59.0,26.0,59.0,26.0,60.0,27.0,60.0,27.0,59.0
144,3594.7701049345324,-0.31572456223317796,-0.31572456223317796,-2.889420386850256,28.0,59.0,27.0,59.0,27.0,60.0,28.0,60.0,28.0,59.0
145,90.60297200527445,-0.2905407583993797,-0.5353819919579725,-0.32682400634068015,29.0,59.0,28.0,59.0,28.0,60.0,29.0,60.0,29.0,59.0
146,1460.6719689806787,0.09441078537565158,0.04039000468820888,0.007487216909187815,30.0,59.0,29.0,59.0,29.0,60.0,30.0,60.0,30.0,59.0
147,2058.6923803366467,0.015192647186527217,0.014839233781926392,0.01176231598678443,31.0,59.0,30.0,59.0,30.0,60.0,31.0,60.0,31.0,59.0
148,283.92434211248434,0.07732171998513072,0.07732171998513072,0.0,32.0,59.0,31.0,59.0,31.0,60.0,32.0,60.0,32.0,59.0
149,112.21618097458658,0.15383778419621355,0.15383778419621355,0.005986317530810665,33.0,59.0,32.0,59.0,32.0,60.0,33.0,60.0,33.0,59.0
150,51.24939298390085,0.2140016557900802,0.2140016557900802,0.301965886937704,34.0,59.0,33.0,59.0,33.0,60.0,34.0,60.0,34.0,59.0
151,7.176238508101608,-0.00043341850224268833,-0.00043341850224268833,7.481048170065916e-05,35.0,59.0,34.0,59.0,34.0,60.0,35.0,60.0,35.0,59.0
154,14.141649565932438,0.0010663070012973867,0.0010663070012973867,0.0012709501095512774,38.0,59.0,37.0,59.0,37.0,60.0,38.0,60.0,38.0,59.0
155,4241.058765755063,-0.009058191842107629,-0.009058191842107629,-0.009058191842107629,39.0,59.0,38.0,59.0,38.0,60.0,39.0,60.0,39.0,59.0
156,241.3389040185351,0.0070470912356769755,0.0070470912356769755,0.0070470912356769755,40.0,59.0,39.0,59.0,39.0,60.0,40.0,60.0,40.0,59.0
159,2.235491290089811,0.0,0.0,0.0,43.0,59.0,42.0,59.0,42.0,60.0,43.0,60.0,43.0,59.0
161,8.282722181539949,0.0,0.0,0.0,45.0,59.0,44.0,59.0,44.0,60.0,45.0,60.0,45.0,59.0
162,54.41000713717761,0.0,0.0,0.0,46.0,59.0,45.0,59.0,45.0,60.0,46.0,60.0,46.0,59.0
163,9264.860681453792,0.0,0.0,0.0,47.0,59.0,46.0,59.0,46.0,60.0,47.0,60.0,47.0,59.0
164,3.76381819302147,0.0,0.0,0.0,48.0,59.0,47.0,59.0,47.0,60.0,48.0,60.0,48.0,59.0
