,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5,NCP_cur,PNpop_c_norm,pop,PN,country
46,18.0,61.0,17.0,61.0,17.0,62.0,18.0,62.0,18.0,61.0,30.90360164642334,0.0034747460279324887,low,lowest,Sweden
47,22.0,61.0,21.0,61.0,21.0,62.0,22.0,62.0,22.0,61.0,60.88880697886149,0.007306961060531896,lowest,high,Finland
48,23.0,61.0,22.0,61.0,22.0,62.0,23.0,62.0,23.0,61.0,71.8324919541677,0.0036147433203194824,lowest,high,Finland
49,24.0,61.0,23.0,61.0,23.0,62.0,24.0,62.0,24.0,61.0,82.79369274775186,0.011363904467207354,medium,high,Finland
50,25.0,61.0,24.0,61.0,24.0,62.0,25.0,62.0,25.0,61.0,83.44677289326987,0.0070255225742252535,medium,medium,Finland
51,26.0,61.0,25.0,61.0,25.0,62.0,26.0,62.0,26.0,61.0,88.52126399676004,0.007473298085604121,medium,medium,Finland
52,27.0,61.0,26.0,61.0,26.0,62.0,27.0,62.0,27.0,61.0,98.72905015945435,0.004019647289974284,low,medium,Finland
53,28.0,61.0,27.0,61.0,27.0,62.0,28.0,62.0,28.0,61.0,99.99999602635702,0.00280027265294234,low,lowest,Finland
54,29.0,61.0,28.0,61.0,28.0,62.0,29.0,62.0,29.0,61.0,90.98449945449829,0.005269629728199742,medium,medium,Finland
55,31.0,61.0,30.0,61.0,30.0,62.0,31.0,62.0,31.0,61.0,99.99906818072,0.0009710886601495858,lowest,low,Russia
59,36.0,61.0,35.0,61.0,35.0,62.0,36.0,62.0,36.0,61.0,94.65974768002829,0.0004164368147237962,lowest,lowest,Russia
69,47.0,61.0,46.0,61.0,46.0,62.0,47.0,62.0,47.0,61.0,99.99680916468301,0.0033303281509501122,low,lowest,Russia
80,5.0,60.0,4.0,60.0,4.0,61.0,5.0,61.0,5.0,60.0,93.42329303423563,0.0006291748911425468,lowest,low,Norway
81,6.0,60.0,5.0,60.0,5.0,61.0,6.0,61.0,6.0,60.0,98.82607261339822,0.014767426978075537,high,medium,Norway
82,11.0,60.0,10.0,60.0,10.0,61.0,11.0,61.0,11.0,60.0,80.65099120140076,0.03954478872014754,highest,high,Norway
83,12.0,60.0,11.0,60.0,11.0,61.0,12.0,61.0,12.0,60.0,63.6711061000824,0.012497808340028699,lowest,highest,Norway
84,13.0,60.0,12.0,60.0,12.0,61.0,13.0,61.0,13.0,60.0,53.981091578801475,0.0029432614683298085,low,high,Sweden
88,17.0,60.0,16.0,60.0,16.0,61.0,17.0,61.0,17.0,60.0,99.41719571749368,0.0051285949682412,medium,lowest,Sweden
89,18.0,60.0,17.0,60.0,17.0,61.0,18.0,61.0,18.0,60.0,68.06895136833191,0.010790582559889664,medium,high,Sweden
90,19.0,60.0,18.0,60.0,18.0,61.0,19.0,61.0,19.0,60.0,82.22651282946268,0.0034474638137878023,low,high,Sweden
91,22.0,60.0,21.0,60.0,21.0,61.0,22.0,61.0,22.0,60.0,62.55404154459635,0.0029654969461817074,lowest,high,Finland
92,23.0,60.0,22.0,60.0,22.0,61.0,23.0,61.0,23.0,60.0,68.44862898190817,0.01767398636956815,lowest,highest,Finland
93,24.0,60.0,23.0,60.0,23.0,61.0,24.0,61.0,24.0,60.0,68.87385845184326,0.0064193562265080694,lowest,highest,Finland
94,25.0,60.0,24.0,60.0,24.0,61.0,25.0,61.0,25.0,60.0,70.81598043441772,0.030562285830867664,high,medium,Finland
95,26.0,60.0,25.0,60.0,25.0,61.0,26.0,61.0,26.0,60.0,81.93273146947226,0.022791292574672023,high,medium,Finland
96,27.0,60.0,26.0,60.0,26.0,61.0,27.0,61.0,27.0,60.0,85.03355979919434,0.003691661498790416,lowest,high,Finland
97,28.0,60.0,27.0,60.0,27.0,61.0,28.0,61.0,28.0,60.0,95.03861665725708,0.0018320392061651988,lowest,high,Finland
98,29.0,60.0,28.0,60.0,28.0,61.0,29.0,61.0,29.0,60.0,99.99217192331949,0.001977861607238118,low,lowest,Russia
99,30.0,60.0,29.0,60.0,29.0,61.0,30.0,61.0,30.0,60.0,98.7228294213613,0.01551299194269406,high,lowest,Russia
100,31.0,60.0,30.0,60.0,30.0,61.0,31.0,61.0,31.0,60.0,76.61630312601724,0.16686814814964238,highest,low,Russia
102,33.0,60.0,32.0,60.0,32.0,61.0,33.0,61.0,33.0,60.0,99.80172316233316,0.0019662009845255396,low,low,Russia
107,38.0,60.0,37.0,60.0,37.0,61.0,38.0,61.0,38.0,60.0,99.17367696762085,0.0005144765148271461,lowest,low,Russia
127,-3.0,59.0,-4.0,59.0,-4.0,60.0,-3.0,60.0,-3.0,59.0,57.03020294507345,0.00037113463399945966,lowest,lowest,United Kingdom
128,6.0,59.0,5.0,59.0,5.0,60.0,6.0,60.0,6.0,59.0,10.077402740716934,0.015537772553681104,high,medium,Norway
129,7.0,59.0,6.0,59.0,6.0,60.0,7.0,60.0,7.0,59.0,18.791782359282173,0.0013220545223161014,lowest,lowest,Norway
130,10.0,59.0,9.0,59.0,9.0,60.0,10.0,60.0,10.0,59.0,90.50044814745584,0.0069686418715164105,medium,medium,Norway
131,11.0,59.0,10.0,59.0,10.0,60.0,11.0,60.0,11.0,59.0,87.92282938957214,0.016505648096323967,high,high,Norway
132,12.0,59.0,11.0,59.0,11.0,60.0,12.0,60.0,12.0,59.0,85.46426693598428,0.00950617134070924,lowest,high,Norway
135,15.0,59.0,14.0,59.0,14.0,60.0,15.0,60.0,15.0,59.0,55.83606561024984,0.004746423328283111,low,high,Sweden
136,16.0,59.0,15.0,59.0,15.0,60.0,16.0,60.0,16.0,59.0,52.496556440989174,0.009058717047488313,lowest,high,Sweden
137,17.0,59.0,16.0,59.0,16.0,60.0,17.0,60.0,17.0,59.0,61.45175298055013,0.012509356375416407,lowest,high,Sweden
138,18.0,59.0,17.0,59.0,17.0,60.0,18.0,60.0,18.0,59.0,59.105835358301796,0.04012349627636688,highest,high,Sweden
139,19.0,59.0,18.0,59.0,18.0,60.0,19.0,60.0,19.0,59.0,88.17805250485739,0.04069002193606644,highest,high,Sweden
140,24.0,59.0,23.0,59.0,23.0,60.0,24.0,60.0,24.0,59.0,99.93037581443787,0.0009838459074205054,lowest,lowest,Estonia
141,25.0,59.0,24.0,59.0,24.0,60.0,25.0,60.0,25.0,59.0,91.87125364939371,0.0196666227413023,high,low,Estonia
142,26.0,59.0,25.0,59.0,25.0,60.0,26.0,60.0,26.0,59.0,53.362793723742165,0.002973434314067106,low,medium,Estonia
143,27.0,59.0,26.0,59.0,26.0,60.0,27.0,60.0,27.0,59.0,73.85141650835672,0.0031706685395457555,lowest,medium,Estonia
144,28.0,59.0,27.0,59.0,27.0,60.0,28.0,60.0,28.0,59.0,43.647004167238876,0.0031842524021491337,low,medium,Estonia
145,29.0,59.0,28.0,59.0,28.0,60.0,29.0,60.0,29.0,59.0,70.37463784217834,0.005838163271664048,medium,low,Russia
146,30.0,59.0,29.0,59.0,29.0,60.0,30.0,60.0,30.0,59.0,63.630406061808266,0.0046383731726645375,low,low,Russia
147,31.0,59.0,30.0,59.0,30.0,60.0,31.0,60.0,31.0,59.0,33.74209105968475,0.00789709152723349,medium,medium,Russia
148,32.0,59.0,31.0,59.0,31.0,60.0,32.0,60.0,32.0,59.0,92.87307262420654,0.004559042870524795,low,low,Russia
149,33.0,59.0,32.0,59.0,32.0,60.0,33.0,60.0,33.0,59.0,95.8305299282074,0.002203972634766667,low,low,Russia
150,34.0,59.0,33.0,59.0,33.0,60.0,34.0,60.0,34.0,59.0,95.53181529045105,0.0011007669819415192,lowest,lowest,Russia
151,35.0,59.0,34.0,59.0,34.0,60.0,35.0,60.0,35.0,59.0,99.32219187418619,0.0012960048754450807,lowest,lowest,Russia
154,38.0,59.0,37.0,59.0,37.0,60.0,38.0,60.0,38.0,59.0,99.79671438535055,0.011375585973458354,high,lowest,Russia
155,39.0,59.0,38.0,59.0,38.0,60.0,39.0,60.0,39.0,59.0,99.20626481374106,0.0028502695311237443,low,medium,Russia
156,40.0,59.0,39.0,59.0,39.0,60.0,40.0,60.0,40.0,59.0,99.29204185803732,0.011112671099758968,medium,low,Russia
159,43.0,59.0,42.0,59.0,42.0,60.0,43.0,60.0,43.0,59.0,99.89219307899475,0.0006179464319995679,lowest,lowest,Russia
161,45.0,59.0,44.0,59.0,44.0,60.0,45.0,60.0,45.0,59.0,98.5787590344747,0.0004721660397962475,lowest,lowest,Russia
162,46.0,59.0,45.0,59.0,45.0,60.0,46.0,60.0,46.0,59.0,97.09493319193521,0.0005566956508606481,lowest,lowest,Russia
163,47.0,59.0,46.0,59.0,46.0,60.0,47.0,60.0,47.0,59.0,97.23634521166483,0.0009747501388148171,lowest,medium,Russia
164,48.0,59.0,47.0,59.0,47.0,60.0,48.0,60.0,48.0,59.0,99.36856627464294,0.0005511008559669641,lowest,lowest,Russia
165,50.0,59.0,49.0,59.0,49.0,60.0,50.0,60.0,50.0,59.0,97.16265797615051,0.005781852542951785,medium,low,Russia
166,51.0,59.0,50.0,59.0,50.0,60.0,51.0,60.0,51.0,59.0,99.99895493189493,0.0019614638745886212,low,,Russia
168,53.0,59.0,52.0,59.0,52.0,60.0,53.0,60.0,53.0,59.0,77.49768694241843,0.001137196045890589,lowest,lowest,Russia
170,55.0,59.0,54.0,59.0,54.0,60.0,55.0,60.0,55.0,59.0,98.04365634918213,0.0008947546698742937,lowest,high,Russia
171,56.0,59.0,55.0,59.0,55.0,60.0,56.0,60.0,56.0,59.0,96.35759194691977,0.0010124416027746923,lowest,medium,Russia
172,57.0,59.0,56.0,59.0,56.0,60.0,57.0,60.0,57.0,59.0,97.90478150049844,0.007892026541764652,medium,lowest,Russia
175,63.0,59.0,62.0,59.0,62.0,60.0,63.0,60.0,63.0,59.0,99.7809648513794,0.0002762424367822419,lowest,lowest,Russia
186,-122.0,58.0,-123.0,58.0,-123.0,59.0,-122.0,59.0,-122.0,58.0,33.02740454673767,5.312429965354703e-06,lowest,lowest,Canada
187,-117.0,58.0,-118.0,58.0,-118.0,59.0,-117.0,59.0,-117.0,58.0,64.2018755276998,0.00015344311104033897,lowest,lowest,Canada
188,-116.0,58.0,-117.0,58.0,-117.0,59.0,-116.0,59.0,-116.0,58.0,31.383922696113586,0.0001183212886775801,lowest,medium,Canada
189,-115.0,58.0,-116.0,58.0,-116.0,59.0,-115.0,59.0,-115.0,58.0,41.1163608233134,0.00011006901154804946,lowest,low,Canada
191,-3.0,58.0,-4.0,58.0,-4.0,59.0,-3.0,59.0,-3.0,58.0,93.93989642461142,0.0031363864094343784,low,lowest,United Kingdom
192,-2.0,58.0,-3.0,58.0,-3.0,59.0,-2.0,59.0,-2.0,58.0,22.11457391579946,0.0020003469670084656,low,lowest,United Kingdom
193,6.0,58.0,5.0,58.0,5.0,59.0,6.0,59.0,6.0,58.0,6.14866279065609,0.002273890225782784,lowest,high,Norway
194,7.0,58.0,6.0,58.0,6.0,59.0,7.0,59.0,7.0,58.0,22.438713908195496,0.0016676770223541238,lowest,medium,Norway
196,9.0,58.0,8.0,58.0,8.0,59.0,9.0,59.0,9.0,58.0,99.70719019571939,0.0049769446805276165,medium,,Norway
197,10.0,58.0,9.0,58.0,9.0,59.0,10.0,59.0,10.0,58.0,99.85372026761374,4.0608653990732955e-05,lowest,lowest,Norway
198,11.0,58.0,10.0,58.0,10.0,59.0,11.0,59.0,11.0,58.0,58.25476050376892,0.000368828510920198,lowest,lowest,Norway
199,12.0,58.0,11.0,58.0,11.0,59.0,12.0,59.0,12.0,58.0,92.97869801521301,0.019033002428537806,high,lowest,Sweden
200,13.0,58.0,12.0,58.0,12.0,59.0,13.0,59.0,13.0,58.0,35.853343208630875,0.02442059472968574,high,highest,Sweden
201,14.0,58.0,13.0,58.0,13.0,59.0,14.0,59.0,14.0,58.0,29.339230060577393,0.010242556445562111,lowest,highest,Sweden
202,15.0,58.0,14.0,58.0,14.0,59.0,15.0,59.0,15.0,58.0,41.72527988751729,0.010772013688202487,lowest,high,Sweden
203,16.0,58.0,15.0,58.0,15.0,59.0,16.0,59.0,16.0,58.0,31.96115493774414,0.013427178689337287,lowest,highest,Sweden
204,17.0,58.0,16.0,58.0,16.0,59.0,17.0,59.0,17.0,58.0,50.13121763865153,0.006696979621157606,lowest,high,Sweden
205,18.0,58.0,17.0,58.0,17.0,59.0,18.0,59.0,18.0,58.0,85.85477868715921,0.00045463584364130444,lowest,medium,Sweden
207,23.0,58.0,22.0,58.0,22.0,59.0,23.0,59.0,23.0,58.0,99.69626069068909,0.0010473456460224381,lowest,lowest,Estonia
208,24.0,58.0,23.0,58.0,23.0,59.0,24.0,59.0,24.0,58.0,99.2193321386973,0.000284927456856199,lowest,low,Estonia
209,25.0,58.0,24.0,58.0,24.0,59.0,25.0,59.0,25.0,58.0,98.45422903696695,0.0031330797597601324,low,low,Estonia
210,26.0,58.0,25.0,58.0,25.0,59.0,26.0,59.0,26.0,58.0,76.90822879473367,0.0031556248592785117,lowest,high,Estonia
211,27.0,58.0,26.0,58.0,26.0,59.0,27.0,59.0,27.0,58.0,80.37694295247397,0.00781579039175357,medium,high,Estonia
212,28.0,58.0,27.0,58.0,27.0,59.0,28.0,59.0,28.0,58.0,89.5767867565155,0.0023874510304666635,low,medium,Estonia
213,29.0,58.0,28.0,58.0,28.0,59.0,29.0,59.0,29.0,58.0,98.44099680582681,0.007905787482678648,medium,lowest,Russia
214,30.0,58.0,29.0,58.0,29.0,59.0,30.0,59.0,30.0,58.0,84.85762476921082,0.0014503213695569654,lowest,low,Russia
215,31.0,58.0,30.0,58.0,30.0,59.0,31.0,59.0,31.0,58.0,53.20595105489095,0.0040668810005888645,lowest,high,Russia
216,32.0,58.0,31.0,58.0,31.0,59.0,32.0,59.0,32.0,58.0,39.40557241439819,0.012424495190979663,medium,high,Russia
217,33.0,58.0,32.0,58.0,32.0,59.0,33.0,59.0,33.0,58.0,96.53060038884482,0.001302505986509255,lowest,lowest,Russia
218,34.0,58.0,33.0,58.0,33.0,59.0,34.0,59.0,34.0,58.0,84.03489192326865,0.0036187969168486995,low,medium,Russia
219,35.0,58.0,34.0,58.0,34.0,59.0,35.0,59.0,35.0,58.0,78.37193012237549,0.0028447178273958928,low,medium,Russia
220,36.0,58.0,35.0,58.0,35.0,59.0,36.0,59.0,36.0,58.0,99.62085485458374,0.0018330093013843364,low,low,Russia
221,37.0,58.0,36.0,58.0,36.0,59.0,37.0,59.0,37.0,58.0,93.60516667366028,0.001467275737193887,lowest,low,Russia
222,38.0,58.0,37.0,58.0,37.0,59.0,38.0,59.0,38.0,58.0,80.26038209597269,0.0015396527471310084,lowest,medium,Russia
223,39.0,58.0,38.0,58.0,38.0,59.0,39.0,59.0,39.0,58.0,47.14316427707672,0.007838611689591043,medium,medium,Russia
224,40.0,58.0,39.0,58.0,39.0,59.0,40.0,59.0,40.0,58.0,85.45078237851462,0.014071134411731672,high,medium,Russia
225,41.0,58.0,40.0,58.0,40.0,59.0,41.0,59.0,41.0,58.0,62.62927055358887,0.010642567466339507,medium,medium,Russia
226,42.0,58.0,41.0,58.0,41.0,59.0,42.0,59.0,42.0,58.0,94.24296617507935,0.004461558012832142,low,medium,Russia
227,43.0,58.0,42.0,58.0,42.0,59.0,43.0,59.0,43.0,58.0,99.92153644561768,0.0014360992626355443,lowest,low,Russia
228,44.0,58.0,43.0,58.0,43.0,59.0,44.0,59.0,44.0,58.0,99.4134763876597,0.00087650573672696,lowest,medium,Russia
229,45.0,58.0,44.0,58.0,44.0,59.0,45.0,59.0,45.0,58.0,97.17511932055154,0.0014774349205644223,lowest,medium,Russia
230,46.0,58.0,45.0,58.0,45.0,59.0,46.0,59.0,46.0,58.0,85.3764514128367,0.0028709348903462077,low,high,Russia
231,47.0,58.0,46.0,58.0,46.0,59.0,47.0,59.0,47.0,58.0,99.67740178108215,0.002002594866422389,lowest,medium,Russia
232,48.0,58.0,47.0,58.0,47.0,59.0,48.0,59.0,48.0,58.0,93.82954041163126,0.0010790207579073805,lowest,low,Russia
233,49.0,58.0,48.0,58.0,48.0,59.0,49.0,59.0,49.0,58.0,67.13756124178568,0.002295868063531281,lowest,low,Russia
234,50.0,58.0,49.0,58.0,49.0,59.0,50.0,59.0,50.0,58.0,94.2475457986196,0.014334807700309123,high,low,Russia
235,51.0,58.0,50.0,58.0,50.0,59.0,51.0,59.0,51.0,58.0,96.75071239471436,0.0031602078091689033,low,low,Russia
236,52.0,58.0,51.0,58.0,51.0,59.0,52.0,59.0,52.0,58.0,70.96154491106668,0.0012665344456367648,lowest,low,Russia
237,53.0,58.0,52.0,58.0,52.0,59.0,53.0,59.0,53.0,58.0,25.78062266111374,0.004870395294353833,medium,lowest,Russia
238,54.0,58.0,53.0,58.0,53.0,59.0,54.0,59.0,54.0,58.0,92.38545298576355,0.002219976874863752,low,lowest,Russia
239,55.0,58.0,54.0,58.0,54.0,59.0,55.0,59.0,55.0,58.0,93.84861191113791,0.0031628009561119014,low,medium,Russia
240,56.0,58.0,55.0,58.0,55.0,59.0,56.0,59.0,56.0,58.0,86.02790037790933,0.014726930964864464,high,medium,Russia
241,57.0,58.0,56.0,58.0,56.0,59.0,57.0,59.0,57.0,58.0,87.63868610064188,0.02016310485078586,high,lowest,Russia
242,58.0,58.0,57.0,58.0,57.0,59.0,58.0,59.0,58.0,58.0,99.68164364496866,0.003595590313732534,low,lowest,Russia
244,60.0,58.0,59.0,58.0,59.0,59.0,60.0,59.0,60.0,58.0,99.8800834019979,0.008209997470226686,medium,lowest,Russia
245,61.0,58.0,60.0,58.0,60.0,59.0,61.0,59.0,61.0,58.0,98.04080327351889,0.0040330472132848,low,lowest,Russia
247,63.0,58.0,62.0,58.0,62.0,59.0,63.0,59.0,63.0,58.0,93.64937543869019,0.0010185296367791466,lowest,lowest,Russia
248,64.0,58.0,63.0,58.0,63.0,59.0,64.0,59.0,64.0,58.0,83.57752958933511,0.0014608508556101863,lowest,lowest,Russia
269,93.0,58.0,92.0,58.0,92.0,59.0,93.0,59.0,93.0,58.0,97.32841650644937,0.0027902647847965305,low,lowest,Russia
276,-117.0,57.0,-118.0,57.0,-118.0,58.0,-117.0,58.0,-117.0,57.0,30.887003739674885,5.3927136451270314e-05,lowest,low,Canada
277,-116.0,57.0,-117.0,57.0,-117.0,58.0,-116.0,58.0,-116.0,57.0,22.75493939717611,1.2810577357428113e-05,lowest,low,Canada
280,-4.0,57.0,-5.0,57.0,-5.0,58.0,-4.0,58.0,-4.0,57.0,85.55153409639993,0.0037242669223203338,low,low,United Kingdom
281,-3.0,57.0,-4.0,57.0,-4.0,58.0,-3.0,58.0,-3.0,57.0,28.64326536655426,0.003276043194609975,lowest,high,United Kingdom
282,-2.0,57.0,-3.0,57.0,-3.0,58.0,-2.0,58.0,-2.0,57.0,1.3028176501393318,0.01790586315157196,lowest,highest,United Kingdom
283,-1.0,57.0,-2.0,57.0,-2.0,58.0,-1.0,58.0,-1.0,57.0,6.721470753351848,0.0028755664769890936,lowest,high,United Kingdom
284,9.0,57.0,8.0,57.0,8.0,58.0,9.0,58.0,9.0,57.0,28.468363483746845,0.003059198443493019,low,low,Denmark
285,10.0,57.0,9.0,57.0,9.0,58.0,10.0,58.0,10.0,57.0,28.224992752075195,0.011881748404924298,lowest,high,Denmark
286,11.0,57.0,10.0,57.0,10.0,58.0,11.0,58.0,11.0,57.0,21.823430061340332,0.0065449153555471535,lowest,medium,Denmark
287,12.0,57.0,11.0,57.0,11.0,58.0,12.0,58.0,12.0,57.0,78.627081712087,0.0028334261740151087,low,lowest,Sweden
288,13.0,57.0,12.0,57.0,12.0,58.0,13.0,58.0,13.0,57.0,41.56163831551869,0.011574147757261732,medium,high,Sweden
289,14.0,57.0,13.0,57.0,13.0,58.0,14.0,58.0,14.0,57.0,93.76648863156638,0.0036738504795664974,low,low,Sweden
290,15.0,57.0,14.0,57.0,14.0,58.0,15.0,58.0,15.0,57.0,98.10039401054382,0.006191651048612542,medium,medium,Sweden
291,16.0,57.0,15.0,57.0,15.0,58.0,16.0,58.0,16.0,57.0,84.75068410237631,0.002964792426002606,low,medium,Sweden
292,17.0,57.0,16.0,57.0,16.0,58.0,17.0,58.0,17.0,57.0,97.51254518826804,0.004681112421422562,low,lowest,Sweden
293,18.0,57.0,17.0,57.0,17.0,58.0,18.0,58.0,18.0,57.0,32.505351305007935,4.4514487525200116e-05,lowest,lowest,Sweden
294,19.0,57.0,18.0,57.0,18.0,58.0,19.0,58.0,19.0,57.0,24.3573988477389,0.0014398368870101954,lowest,high,Sweden
295,22.0,57.0,21.0,57.0,21.0,58.0,22.0,58.0,22.0,57.0,83.70859821637472,0.0030594391661528573,low,medium,Latvia
296,23.0,57.0,22.0,57.0,22.0,58.0,23.0,58.0,23.0,57.0,92.30625033378601,0.003930257812526052,low,high,Latvia
297,24.0,57.0,23.0,57.0,23.0,58.0,24.0,58.0,24.0,57.0,99.65553681055704,0.008007093740780518,medium,low,Latvia
298,25.0,57.0,24.0,57.0,24.0,58.0,25.0,58.0,25.0,57.0,98.80107839902243,0.028119150768059983,high,medium,Latvia
299,26.0,57.0,25.0,57.0,25.0,58.0,26.0,58.0,26.0,57.0,95.80803513526917,0.005535493219042077,low,high,Latvia
300,27.0,57.0,26.0,57.0,26.0,58.0,27.0,58.0,27.0,57.0,97.48092889785767,0.003038294845916573,low,high,Latvia
301,28.0,57.0,27.0,57.0,27.0,58.0,28.0,58.0,28.0,57.0,78.75322898228964,0.004457340128802991,lowest,high,Latvia
302,29.0,57.0,28.0,57.0,28.0,58.0,29.0,58.0,29.0,57.0,77.16390887896219,0.006823942035318787,lowest,highest,Russia
303,30.0,57.0,29.0,57.0,29.0,58.0,30.0,58.0,30.0,57.0,79.51050996780396,0.0016261810044445098,lowest,medium,Russia
304,31.0,57.0,30.0,57.0,30.0,58.0,31.0,58.0,31.0,57.0,64.523975054423,0.0015643386122567372,lowest,high,Russia
305,32.0,57.0,31.0,57.0,31.0,58.0,32.0,58.0,32.0,57.0,42.60505934556325,0.002002313543403303,lowest,high,Russia
306,33.0,57.0,32.0,57.0,32.0,58.0,33.0,58.0,33.0,57.0,87.90185848871866,0.0012689619091680096,lowest,medium,Russia
307,34.0,57.0,33.0,57.0,33.0,58.0,34.0,58.0,34.0,57.0,98.3528176943461,0.0014141089677511,lowest,lowest,Russia
308,35.0,57.0,34.0,57.0,34.0,58.0,35.0,58.0,35.0,57.0,95.61093052228293,0.00454323905132091,low,lowest,Russia
309,36.0,57.0,35.0,57.0,35.0,58.0,36.0,58.0,36.0,57.0,98.65736564000449,0.014929056517526013,high,low,Russia
310,37.0,57.0,36.0,57.0,36.0,58.0,37.0,58.0,37.0,57.0,56.61733349164327,0.00399585767777895,low,low,Russia
311,38.0,57.0,37.0,57.0,37.0,58.0,38.0,58.0,38.0,57.0,68.61476500829062,0.008344915603523418,medium,medium,Russia
312,39.0,57.0,38.0,57.0,38.0,58.0,39.0,58.0,39.0,57.0,43.70845556259155,0.0071286604813481985,medium,high,Russia
