,2015,SSP1,SSP3,SSP5,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5
394,25778,-39.33198851734037,-16.24253239196214,-34.595391419039494,54.0,59.0,53.0,59.0,53.0,60.0,54.0,60.0,54.0,59.0
395,24681,-39.256918277217295,-16.125764758316112,-34.593411936307284,55.0,59.0,54.0,59.0,54.0,60.0,55.0,60.0,55.0,59.0
396,24171,-39.32398328575566,-15.725456125108602,-34.264200901907245,56.0,59.0,55.0,59.0,55.0,60.0,56.0,60.0,56.0,59.0
397,27133,-39.947665204732246,-16.142704455828696,-34.96480300740795,57.0,59.0,56.0,59.0,56.0,60.0,57.0,60.0,57.0,59.0
398,57086,-54.56153873103738,-32.606943909189646,-50.42567354517745,58.0,59.0,57.0,59.0,57.0,60.0,58.0,60.0,58.0,59.0
399,85752,-71.69512081350872,-16.054436048138818,-69.76513667319713,59.0,59.0,58.0,59.0,58.0,60.0,59.0,60.0,59.0,59.0
400,47749,-61.33741020754361,-15.547969590986199,-58.09126892709795,60.0,59.0,59.0,59.0,59.0,60.0,60.0,60.0,60.0,59.0
401,3890,-44.55012853470437,-14.652956298200515,-39.3573264781491,61.0,59.0,60.0,59.0,60.0,60.0,61.0,60.0,61.0,59.0
403,325,-39.69230769230769,-15.692307692307692,-33.84615384615385,63.0,59.0,62.0,59.0,62.0,60.0,63.0,60.0,63.0,59.0
404,1,-100.0,-100.0,-100.0,64.0,59.0,63.0,59.0,63.0,60.0,64.0,60.0,64.0,59.0
415,91,-38.46153846153846,-8.791208791208792,-31.86813186813187,75.0,59.0,74.0,59.0,74.0,60.0,75.0,60.0,75.0,59.0
416,1102,-34.66424682395644,-2.722323049001815,-33.03085299455535,76.0,59.0,75.0,59.0,75.0,60.0,76.0,60.0,76.0,59.0
417,1900,-34.78947368421053,-2.1578947368421053,-32.36842105263158,77.0,59.0,76.0,59.0,76.0,60.0,77.0,60.0,77.0,59.0
418,1671,-37.82166367444644,-0.2992220227408737,-25.134649910233392,78.0,59.0,77.0,59.0,77.0,60.0,78.0,60.0,78.0,59.0
419,1317,-37.053910402429764,-1.5186028853454823,-28.549734244495063,79.0,59.0,78.0,59.0,78.0,60.0,79.0,60.0,79.0,59.0
420,991,-37.941473259334,-1.513622603430878,-26.13521695257316,80.0,59.0,79.0,59.0,79.0,60.0,80.0,60.0,80.0,59.0
421,1125,-35.022222222222226,-8.533333333333333,-33.955555555555556,81.0,59.0,80.0,59.0,80.0,60.0,81.0,60.0,81.0,59.0
422,1308,-35.091743119266056,-5.122324159021407,-33.40978593272171,82.0,59.0,81.0,59.0,81.0,60.0,82.0,60.0,82.0,59.0
423,1719,-41.07038976148924,-11.634671320535196,-30.07562536358348,83.0,59.0,82.0,59.0,82.0,60.0,83.0,60.0,83.0,59.0
424,4705,-43.57066950053135,-19.192348565356003,-29.904357066950052,84.0,59.0,83.0,59.0,83.0,60.0,84.0,60.0,84.0,59.0
425,3069,-40.43662430759205,-6.6797002280873246,-25.61094819159335,85.0,59.0,84.0,59.0,84.0,60.0,85.0,60.0,85.0,59.0
426,2572,-39.89113530326594,-0.8164852255054432,-20.839813374805598,86.0,59.0,85.0,59.0,85.0,60.0,86.0,60.0,86.0,59.0
427,2718,-39.735099337748345,-2.2442972774098604,-22.590139808682856,87.0,59.0,86.0,59.0,86.0,60.0,87.0,60.0,87.0,59.0
428,1777,-40.06752954417558,-1.9133370849746765,-22.17220033764772,88.0,59.0,87.0,59.0,87.0,60.0,88.0,60.0,88.0,59.0
429,1846,-35.59046587215601,-1.6251354279523293,-30.173347778981583,89.0,59.0,88.0,59.0,88.0,60.0,89.0,60.0,89.0,59.0
430,1724,-33.35266821345708,-0.11600928074245939,-33.35266821345708,90.0,59.0,89.0,59.0,89.0,60.0,90.0,60.0,90.0,59.0
431,1869,-33.386837881219904,-0.05350454788657036,-33.172819689673624,91.0,59.0,90.0,59.0,90.0,60.0,91.0,60.0,91.0,59.0
432,1806,-33.55481727574751,-0.11074197120708748,-33.44407530454042,92.0,59.0,91.0,59.0,91.0,60.0,92.0,60.0,92.0,59.0
433,1526,-33.35517693315858,0.0,-33.35517693315858,93.0,59.0,92.0,59.0,92.0,60.0,93.0,60.0,93.0,59.0
434,1800,-33.55555555555556,-0.6111111111111112,-33.27777777777778,94.0,59.0,93.0,59.0,93.0,60.0,94.0,60.0,94.0,59.0
435,3349,-38.07106598984772,-10.09256494475963,-33.144222155867425,95.0,59.0,94.0,59.0,94.0,60.0,95.0,60.0,95.0,59.0
436,3639,-36.521022258862324,-13.520197856553999,-33.19593294861225,96.0,59.0,95.0,59.0,95.0,60.0,96.0,60.0,96.0,59.0
437,2779,-33.75314861460957,-11.514933429291112,-33.21338611011155,97.0,59.0,96.0,59.0,96.0,60.0,97.0,60.0,97.0,59.0
438,3998,-33.59179589794898,-11.180590295147574,-33.141570785392695,98.0,59.0,97.0,59.0,97.0,60.0,98.0,60.0,98.0,59.0
439,4467,-33.60197000223864,-11.461831206626371,-33.26617416610701,99.0,59.0,98.0,59.0,98.0,60.0,99.0,60.0,99.0,59.0
440,6023,-34.41806408766396,-11.588909181471028,-31.446123194421386,100.0,59.0,99.0,59.0,99.0,60.0,100.0,60.0,100.0,59.0
