UN_c,UN_1,UN_3,UN_5,NC_c,NC_1,NC_3,NC_5,pop_c,pop_1,pop_3,pop_5,lat,lng
77976.453125,80271.34375,82712.2578125,81983.5625,0.9188929885868521,0.9180742685097181,0.913967053263482,0.914725003858297,413.168884277344,277.072296142578,411.968444824219,278.29302978515597,60.5,90.5
94299.0625,95523.40625,99255.015625,98484.34375,0.93489040653595,0.9348398480503342,0.931468526353465,0.9320006433347491,544.0177001953131,362.678466796875,544.0177001953131,362.678466796875,60.5,91.5
4024.39794921875,4064.69311523438,4232.7060546875,4203.94873046875,0.968295674660282,0.968036757631868,0.966654617282255,0.966881168327762,8.83146286010742,5.88764238357544,8.83146286010742,5.88764238357544,60.5,92.5
18558.30078125,18783.26953125,19520.3671875,19346.455078125,0.980324517970828,0.9802837216749201,0.9793045366422479,0.979488917993914,325.929443359375,217.286315917969,325.929443359375,217.286315917969,60.5,93.5
2009.8779296875,2033.34582519531,2101.79711914062,2094.51171875,0.9964938385091059,0.996489998909987,0.99633348870996,0.9963461978351841,199.083404541016,132.168365478516,197.97560119628898,132.722274780273,60.5,94.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,64.9188232421875,0.0,0.0,0.0,60.5,99.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.06954097747803,0.0,0.0,0.0,60.5,109.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,175.28483581543,0.0,0.0,0.0,60.5,112.5
160.80221557617202,169.75129699707,166.717849731445,171.967071533203,0.9995961607785949,0.99959047306002,0.9995813042352142,0.999568121322045,409.655822753906,204.827911376953,307.241821289062,287.06304931640597,60.5,113.5
1145.232421875,1207.20922851563,1184.966796875,1225.91625976563,0.996659332104113,0.996607177678239,0.9965434260675821,0.9964239755932329,296.06622314453097,149.934997558594,224.352142333984,216.473724365234,60.5,114.5
1168.08666992188,1187.36364746094,1200.64184570313,1198.90270996094,0.9808688719474301,0.980800729697109,0.980335677576941,0.9803641614467099,51.55448913574221,32.198455810546896,51.55448913574221,38.712062835693395,60.5,131.5
