FIPS,County_Surface,ACRES_2016,2016
12005,#DIV/0!,0,.
12007,#DIV/0!,0,.
12009,#DIV/0!,0,.
12011,#DIV/0!,0,.
12013,#DIV/0!,333,46,35
12015,#DIV/0!,0,.
12017,#DIV/0!,0,.
12019,#DIV/0!,0,.
12021,#DIV/0!,0,.
12023,#DIV/0!,198,64,20
12025,#DIV/0!,0,.
12027,#DIV/0!,0,.
12029,#DIV/0!,0,.
12031,#DIV/0!,0,.
12033,#DIV/0!,1.381,62,29
12035,#DIV/0!,0,.
12037,#DIV/0!,0,.
12039,#DIV/0!,235,40,05
12041,#DIV/0!,0,.
12043,#DIV/0!,0,.
12045,#DIV/0!,62,36,16
12047,#DIV/0!,97,30,77
12049,#DIV/0!,0,.
12051,#DIV/0!,0,.
12053,#DIV/0!,0,.
12055,#DIV/0!,0,.
12057,#DIV/0!,0,.
12059,#DIV/0!,3.648,40,59
12061,#DIV/0!,0,.
12063,#DIV/0!,6.323,51,50
12065,#DIV/0!,4.666,40,32
12067,#DIV/0!,0,.
12069,#DIV/0!,0,.
12071,#DIV/0!,0,.
12073,#DIV/0!,425,37,51
12075,#DIV/0!,0,.
12077,#DIV/0!,0,.
12079,#DIV/0!,2.337,42,76
12081,#DIV/0!,0,.
12083,#DIV/0!,0,.
12085,#DIV/0!,0,.
12087,#DIV/0!,0,.
12089,#DIV/0!,0,.
12091,#DIV/0!,4.472,46,31
12093,#DIV/0!,0,.
12095,#DIV/0!,0,.
12097,#DIV/0!,0,.
12099,#DIV/0!,0,.
12101,#DIV/0!,0,.
12103,#DIV/0!,0,.
12105,#DIV/0!,0,.
12107,#DIV/0!,0,.
12109,#DIV/0!,0,.
12111,#DIV/0!,0,.
12113,#DIV/0!,2.025,58,69
12115,#DIV/0!,0,.
12117,#DIV/0!,0,.
12119,#DIV/0!,0,.
12121,#DIV/0!,0,.
12123,#DIV/0!,0,.
12125,#DIV/0!,0,.
12127,#DIV/0!,0,.
12129,#DIV/0!,0,.
12131,#DIV/0!,3.284,46,79
12133,#DIV/0!,2.128,43,12
13001,#DIV/0!,811,59,16
13003,#DIV/0!,66,84,31
13005,#DIV/0!,169,70,29
13007,#DIV/0!,396,63,99
13009,#DIV/0!,0,.
13011,#DIV/0!,94,36,91
13013,#DIV/0!,5,48,40
13015,#DIV/0!,176,41,84
13017,#DIV/0!,2.591,67,19
13019,#DIV/0!,1.355,64,64
13021,#DIV/0!,0,.
13023,#DIV/0!,935,51,36
13025,#DIV/0!,165,41,00
13027,#DIV/0!,5.809,88,40
13029,#DIV/0!,233,53,70
13031,#DIV/0!,5.827,58,11
13033,#DIV/0!,2.442,38,87
13035,#DIV/0!,99,40,42
13037,#DIV/0!,4.594,70,22
13039,#DIV/0!,0,.
13043,#DIV/0!,2.810,56,46
13045,#DIV/0!,63,30,05
13047,#DIV/0!,35,51,32
13049,#DIV/0!,0,.
13051,#DIV/0!,0,.
13053,#DIV/0!,15,22,49
13055,#DIV/0!,294,35,17
13057,#DIV/0!,4,46,30
13059,#DIV/0!,376,35,37
13061,#DIV/0!,2.618,55,30
13063,#DIV/0!,0,.
13065,#DIV/0!,0,.
13067,#DIV/0!,16,54,25
13069,#DIV/0!,2.051,83,25
13071,#DIV/0!,4.696,80,31
13073,#DIV/0!,0,.
13075,#DIV/0!,909,85,87
13077,#DIV/0!,41,42,14
13079,#DIV/0!,264,65,72
13081,#DIV/0!,4.365,66,84
13083,#DIV/0!,42,54,68
13085,#DIV/0!,53,35,00
13087,#DIV/0!,4.237,63,80
13089,#DIV/0!,0,.
13091,#DIV/0!,4.765,50,16
13093,#DIV/0!,13.592,68,24
13095,#DIV/0!,620,58,21
13097,#DIV/0!,0,.
13099,#DIV/0!,9.820,55,24
13101,#DIV/0!,253,59,34
13103,#DIV/0!,22,23,25
13105,#DIV/0!,390,26,38
13107,#DIV/0!,6.190,50,97
13109,#DIV/0!,1.043,57,17
13111,#DIV/0!,22,72,13
13113,#DIV/0!,0,.
13115,#DIV/0!,1.084,53,24
13117,#DIV/0!,0,.
13119,#DIV/0!,249,31,39
13121,#DIV/0!,0,.
13123,#DIV/0!,0,.
13125,#DIV/0!,252,37,79
13127,#DIV/0!,0,.
13129,#DIV/0!,95,47,91
13131,#DIV/0!,6.461,69,91
13133,#DIV/0!,79,25,33
13135,#DIV/0!,0,.
13137,#DIV/0!,0,.
13139,#DIV/0!,49,36,00
13141,#DIV/0!,254,29,00
13143,#DIV/0!,0,.
13145,#DIV/0!,295,37,57
13147,#DIV/0!,1.077,28,63
13149,#DIV/0!,25,29,59
13151,#DIV/0!,0,.
13153,#DIV/0!,667,47,41
13155,#DIV/0!,2.354,75,67
13157,#DIV/0!,96,24,49
13159,#DIV/0!,106,26,50
13161,#DIV/0!,486,86,49
13163,#DIV/0!,1.818,36,74
13165,#DIV/0!,2.769,53,65
13167,#DIV/0!,2.722,41,41
13169,#DIV/0!,153,47,86
13171,#DIV/0!,68,47,85
13173,#DIV/0!,612,71,94
13175,#DIV/0!,11.023,43,59
13177,#DIV/0!,5.454,69,59
13179,#DIV/0!,0,.
13181,#DIV/0!,92,29,41
13183,#DIV/0!,0,.
13185,#DIV/0!,1.583,87,25
13187,#DIV/0!,0,.
13189,#DIV/0!,149,45,00
13191,#DIV/0!,0,.
13193,#DIV/0!,6.186,44,34
13195,#DIV/0!,760,37,77
13197,#DIV/0!,646,34,96
13199,#DIV/0!,1.021,33,64
13201,#DIV/0!,718,59,62
13205,#DIV/0!,4.690,74,13
13207,#DIV/0!,151,36,41
13209,#DIV/0!,1.414,59,35
13211,#DIV/0!,491,25,83
13213,#DIV/0!,157,64,94
13215,#DIV/0!,0,.
13217,#DIV/0!,161,31,87
13219,#DIV/0!,763,34,60
13221,#DIV/0!,404,26,83
13223,#DIV/0!,0,.
13225,#DIV/0!,382,47,40
13227,#DIV/0!,6,48,40
13229,#DIV/0!,433,59,55
13231,#DIV/0!,518,45,97
13233,#DIV/0!,616,37,69
13235,#DIV/0!,1.370,61,50
13237,#DIV/0!,0,.
13239,#DIV/0!,982,44,00
13241,#DIV/0!,0,.
13243,#DIV/0!,6.065,48,88
13245,#DIV/0!,175,32,38
13247,#DIV/0!,0,.
13249,#DIV/0!,1.846,48,91
13251,#DIV/0!,5.209,47,73
13253,#DIV/0!,1.045,66,64
13255,#DIV/0!,9,40,40
13257,#DIV/0!,0,.
13259,#DIV/0!,2.631,60,60
13261,#DIV/0!,12.096,66,46
13263,#DIV/0!,278,32,84
13265,#DIV/0!,0,.
13267,#DIV/0!,3.404,61,49
13269,#DIV/0!,1.602,38,79
13271,#DIV/0!,2.052,64,82
13273,#DIV/0!,15.206,61,41
13275,#DIV/0!,5.276,83,14
13277,#DIV/0!,1.481,75,22
13279,#DIV/0!,2.114,55,65
13281,#DIV/0!,0,.
13283,#DIV/0!,1.017,53,47
13285,#DIV/0!,49,29,68
13287,#DIV/0!,8.022,74,27
13289,#DIV/0!,293,49,88
13291,#DIV/0!,0,.
13293,#DIV/0!,306,41,38
13295,#DIV/0!,140,45,47
13297,#DIV/0!,977,30,87
13299,#DIV/0!,356,70,19
13301,#DIV/0!,621,34,64
13303,#DIV/0!,2.536,40,18
13305,#DIV/0!,124,56,41
13307,#DIV/0!,2.638,58,97
13309,#DIV/0!,881,67,26
13311,#DIV/0!,0,.
13313,#DIV/0!,124,47,92
13315,#DIV/0!,6.146,60,40
13317,#DIV/0!,361,27,47
13319,#DIV/0!,651,40,50
13321,#DIV/0!,5.620,69,34
15001,#DIV/0!,975,48,82
15003,#DIV/0!,0,.
15007,#DIV/0!,0,.
15009,#DIV/0!,21,88,99
16001,#DIV/0!,0,.
16003,#DIV/0!,1.627,40,52
16005,#DIV/0!,60.196,41,13
16007,#DIV/0!,15.043,39,19
16009,#DIV/0!,6.898,71,06
16011,#DIV/0!,25.035,70,63
16013,#DIV/0!,774,76,49
16015,#DIV/0!,13,44,80
16017,#DIV/0!,118,46,60
16019,#DIV/0!,54.433,51,11
16021,#DIV/0!,585,56,47
16023,#DIV/0!,703,49,47
16025,#DIV/0!,3.610,61,26
16027,#DIV/0!,0,.
16029,#DIV/0!,41.652,49,62
16031,#DIV/0!,54.363,69,43
16033,#DIV/0!,4.816,44,07
16035,#DIV/0!,2.500,62,89
16037,#DIV/0!,387,52,53
16039,#DIV/0!,629,31,99
16041,#DIV/0!,30.660,50,72
16043,#DIV/0!,23.201,47,86
16045,#DIV/0!,71,50,79
16047,#DIV/0!,0,.
16049,#DIV/0!,7.286,75,25
