FIPS,ACRES_2016,2016
17029,7.465,198.74
17031,0,0
17033,12.439,165.93
17035,12.870,196.21
17037,4.928,248.98
17039,4.322,217.9
17041,4.191,218.96
17043,0,0
17045,5.410,202.81
17047,5.743,112.86
17049,13.921,165.94
17051,13.961,136.69
17053,7.951,202.44
17055,9.404,90.4
17057,8.911,224.64
17059,2.332,129.49
17061,14.704,187.07
17063,2.508,230.79
17065,22.219,95.16
17067,15.132,174.53
17069,3.467,97.27
17071,5.255,223.58
17073,15.960,185.67
17075,19.197,222.22
17077,7.543,104.68
17079,13.429,145.19
17081,17.050,90.87
17083,5.698,176.34
17085,13.949,159.41
17087,15.211,83.57
17089,88,175.65
17091,3.358,187.24
17093,334,204.22
17095,10.046,208.49
17097,88,83.39
17099,8.647,234.63
17101,4.361,152.85
17103,5.372,198.35
17105,12.910,214.68
17107,11.373,236.73
17109,5.034,189.23
17111,1.318,153.41
17113,11.373,248.76
17115,3.222,253.9
17117,13.977,152.78
17119,3.296,120.92
17121,22.088,114.76
17123,3.370,208.39
17125,19.681,206.47
17127,7.248,105.14
17129,7.418,182.31
17131,14.986,186.95
17133,3.154,118.22
17135,15.116,213.94
17137,8.655,193.18
17139,2.346,227.95
17141,7.812,180.93
17143,4.897,204.78
17145,5.386,89.16
17147,3.234,249.1
17149,26.271,137.57
17151,10.048,86.79
17153,6.313,99.6
17155,1.959,217.83
17157,7.643,103.04
17159,7.144,145.12
17161,6.822,204.5
17163,2.215,117.05
17165,6.365,95.66
17167,12.848,198.22
17169,7.532,180.89
17171,6.565,156.91
17173,12.795,169.68
17175,4.143,220.11
17177,11.226,208.04
17179,10.648,204.83
17181,15.803,94.72
17183,10.293,236.42
17185,2.683,143.82
17187,3.339,211.07
17189,4.316,104.4
17191,28.756,114.54
17193,11.020,118.36
17195,16.354,201.92
17197,502,168.89
17199,6.164,80.16
17201,7.944,181.71
17203,6.512,224.05
18001,2.025,154.09
18003,4.878,139.83
18005,2.522,185.12
18007,3.199,238.93
18009,1.347,199.75
18011,864,208.26
18013,282,103.84
18015,2.334,187.53
18017,4.273,194.39
18019,382,124.54
18021,1.371,139.47
18023,1.124,210.88
18025,1.560,91.88
18027,2.223,144.94
18029,181,102.27
18031,2.946,178.35
18033,9.675,103.49
18035,1.514,195.41
18037,2.062,136.8
18039,713,128.76
18041,1.414,164.19
18043,177,10100
18045,2.611,204.55
18047,1.598,135.97
18049,3.021,173.61
18051,1.285,162.59
18053,1.850,170.28
18055,2.577,129.11
18057,875,191.88
18059,127,205.38
18061,2.162,99.02
18063,912,197.02
18065,1.095,153.44
18067,1.324,215.76
18069,4.476,159.93
18071,3.872,148.15
18073,5.207,209.39
18075,4.089,152.79
18077,617,130.55
18079,2.078,143.14
18081,753,184.94
18083,2.351,189.46
18085,6.764,129.14
18087,1.030,105.87
18089,1.359,146.59
18091,3.350,156.55
18093,5.785,126.47
18095,1.533,190.65
18097,20,193.2
18099,3.062,133.56
18101,1.440,123.96
18103,4.694,176.12
18105,1.436,101.01
18107,5.217,210.8
18109,1.084,189.24
18111,2.554,218.83
18113,5.447,108.3
18115,14,110.79
18117,4.185,130.33
18119,2.789,129.27
18121,3.400,164.12
18123,1.545,119.04
18125,3.955,142.31
18127,1.703,129.25
18129,1.130,176.39
18131,6.772,180.34
18133,5.364,168.53
18135,1.804,164.04
18137,3.818,136.87
18139,800,183.14
18141,1.720,122.52
18143,1.488,139.28
18145,438,182.15
18147,2.368,120.27
18149,13.344,161.08
18151,6.106,95.95
18153,2.530,157.66
18155,779,128.38
18157,1.540,226.65
18159,1.048,225.04
18161,786,170.72
18163,649,190.22
