fid,lat,lng
676,88.50,136.50
677,88.50,137.50
678,88.50,138.50
679,88.50,139.50
680,88.50,140.50
681,88.50,141.50
682,88.50,142.50
683,88.50,143.50
684,88.50,144.50
685,88.50,145.50
686,88.50,146.50
687,88.50,147.50
688,88.50,148.50
689,88.50,149.50
690,88.50,150.50
691,88.50,151.50
692,88.50,152.50
693,88.50,153.50
694,88.50,154.50
695,88.50,155.50
696,88.50,156.50
697,88.50,157.50
698,88.50,158.50
699,88.50,159.50
700,88.50,160.50
701,88.50,161.50
702,88.50,162.50
703,88.50,163.50
704,88.50,164.50
705,88.50,165.50
706,88.50,166.50
707,88.50,167.50
708,88.50,168.50
709,88.50,169.50
710,88.50,170.50
711,88.50,171.50
712,88.50,172.50
713,88.50,173.50
714,88.50,174.50
715,88.50,175.50
716,88.50,176.50
717,88.50,177.50
718,88.50,178.50
719,88.50,179.50
720,87.50,-179.50
721,87.50,-178.50
722,87.50,-177.50
723,87.50,-176.50
724,87.50,-175.50
725,87.50,-174.50
726,87.50,-173.50
727,87.50,-172.50
728,87.50,-171.50
729,87.50,-170.50
730,87.50,-169.50
731,87.50,-168.50
732,87.50,-167.50
733,87.50,-166.50
734,87.50,-165.50
735,87.50,-164.50
736,87.50,-163.50
737,87.50,-162.50
738,87.50,-161.50
739,87.50,-160.50
740,87.50,-159.50
741,87.50,-158.50
742,87.50,-157.50
743,87.50,-156.50
744,87.50,-155.50
745,87.50,-154.50
746,87.50,-153.50
747,87.50,-152.50
748,87.50,-151.50
749,87.50,-150.50
750,87.50,-149.50
751,87.50,-148.50
752,87.50,-147.50
753,87.50,-146.50
754,87.50,-145.50
755,87.50,-144.50
756,87.50,-143.50
757,87.50,-142.50
758,87.50,-141.50
759,87.50,-140.50
760,87.50,-139.50
761,87.50,-138.50
762,87.50,-137.50
763,87.50,-136.50
764,87.50,-135.50
765,87.50,-134.50
766,87.50,-133.50
767,87.50,-132.50
768,87.50,-131.50
769,87.50,-130.50
770,87.50,-129.50
771,87.50,-128.50
772,87.50,-127.50
773,87.50,-126.50
774,87.50,-125.50
775,87.50,-124.50
776,87.50,-123.50
777,87.50,-122.50
778,87.50,-121.50
779,87.50,-120.50
780,87.50,-119.50
781,87.50,-118.50
782,87.50,-117.50
783,87.50,-116.50
784,87.50,-115.50
785,87.50,-114.50
786,87.50,-113.50
787,87.50,-112.50
788,87.50,-111.50
789,87.50,-110.50
790,87.50,-109.50
791,87.50,-108.50
792,87.50,-107.50
793,87.50,-106.50
794,87.50,-105.50
795,87.50,-104.50
796,87.50,-103.50
797,87.50,-102.50
798,87.50,-101.50
799,87.50,-100.50
800,87.50,-99.50
801,87.50,-98.50
802,87.50,-97.50
803,87.50,-96.50
804,87.50,-95.50
805,87.50,-94.50
806,87.50,-93.50
807,87.50,-92.50
808,87.50,-91.50
809,87.50,-90.50
810,87.50,-89.50
811,87.50,-88.50
812,87.50,-87.50
813,87.50,-86.50
814,87.50,-85.50
815,87.50,-84.50
816,87.50,-83.50
817,87.50,-82.50
818,87.50,-81.50
819,87.50,-80.50
820,87.50,-79.50
821,87.50,-78.50
822,87.50,-77.50
823,87.50,-76.50
824,87.50,-75.50
825,87.50,-74.50
826,87.50,-73.50
827,87.50,-72.50
828,87.50,-71.50
829,87.50,-70.50
830,87.50,-69.50
831,87.50,-68.50
832,87.50,-67.50
833,87.50,-66.50
834,87.50,-65.50
835,87.50,-64.50
836,87.50,-63.50
837,87.50,-62.50
838,87.50,-61.50
839,87.50,-60.50
840,87.50,-59.50
841,87.50,-58.50
