fid,country,region,UN_cur,UN_ssp1,UN_ssp3,UN_ssp5,rurpopcur,rurpopssp1,rurpopssp3,rurpopssp5
3738,Greenland,Eurasia,0,0,0,0,0,0,0,0
3739,Greenland,Eurasia,0,0,0,0,0,0,0,0
3740,Greenland,Eurasia,0,0,0,0,0,0,0,0
3741,Greenland,Eurasia,0,0,0,0,0,0,0,0
3742,Greenland,Eurasia,0,0,0,0,0,0,0,0
3743,Greenland,Eurasia,0,0,0,0,0,0,0,0
3744,Greenland,Eurasia,0,0,0,0,0,0,0,0
3745,Greenland,Eurasia,0,0,0,0,0,0,0,0
3746,Greenland,Eurasia,0,0,0,0,0,0,0,0
3747,Greenland,Eurasia,0,0,0,0,0,0,0,0
3748,Greenland,Eurasia,0,0,0,0,0,0,0,0
3749,Greenland,Eurasia,0,0,0,0,0,0,0,0
3750,Greenland,Eurasia,0,0,0,0,0,0,0,0
3751,Greenland,Eurasia,0,0,0,0,0,0,0,0
3752,Greenland,Eurasia,0,0,0,0,0,0,0,0
3753,Greenland,Eurasia,0,0,0,0,0,0,0,0
3754,Greenland,Eurasia,0,0,0,0,0,0,0,0
3755,Greenland,Eurasia,0,0,0,0,0,0,0,0
3756,Greenland,Eurasia,0,0,0,0,0,0,0,0
3757,Greenland,Eurasia,0,0,0,0,0,0,0,0
3758,Greenland,Eurasia,0,0,0,0,0,0,0,0
3759,Greenland,Eurasia,0,0,0,0,0,0,0,0
3760,Greenland,Eurasia,0,0,0,0,0,0,0,0
3761,Greenland,Eurasia,0,0,0,0,0,0,0,0
3762,Greenland,Eurasia,0,0,0,0,0,0,0,0
3790,Svalbard,Eurasia,0,0,0,0,0,0,0,0
3791,Svalbard,Eurasia,0,0,0,0,0,0,0,0
3792,Svalbard,Eurasia,0,0,0,0,0,0,0,0
3793,Svalbard,Eurasia,0,0,0,0,0,0,0,0
3794,Svalbard,Eurasia,0,0,0,0,0,0,0,0
3795,Svalbard,Eurasia,0,0,0,0,0,0,0,0
3796,Svalbard,Eurasia,0,0,0,0,0,0,0,0
3797,Svalbard,Eurasia,0,0,0,0,0,0,0,0
3798,Svalbard,Eurasia,0,0,0,0,0,0,0,0
3799,Svalbard,Eurasia,0,0,0,0,0,0,0,0
3800,Svalbard,Eurasia,0,0,0,0,0,0,0,0
3801,Svalbard,Eurasia,0,0,0,0,0,0,0,0
3802,Svalbard,Eurasia,0,0,0,0,0,0,0,0
3803,Svalbard,Eurasia,0,0,0,0,0,0,0,0
3804,Svalbard,Eurasia,0,0,0,0,0,0,0,0
3805,Svalbard,Eurasia,0,0,0,0,0,0,0,0
3806,Svalbard,Eurasia,0,0,0,0,0,0,0,0
3807,Svalbard,Eurasia,0,0,0,0,0,0,0,0
3810,Svalbard,Eurasia,0,0,0,0,0,0,0,0
3829,Russia,Eurasia,0,0,0,0,0,0,0,0
3830,Russia,Eurasia,0,0,0,0,0,0,0,0
3831,Russia,Eurasia,0,0,0,0,0,0,0,0
3838,Russia,Eurasia,0,0,0,0,0,0,0,0
3839,Russia,Eurasia,0,0,0,0,0,0,0,0
3856,Russia,Eurasia,0,0,0,0,0,0,0,0
3857,Russia,Eurasia,0,0,0,0,0,0,0,0
3870,Russia,Eurasia,0,0,0,0,0,0,0,0
3871,Russia,Eurasia,0,0,0,0,0,0,0,0
3872,Russia,Eurasia,0,0,0,0,0,0,0,0
3873,Russia,Eurasia,0,0,0,0,0,0,0,0
3874,Russia,Eurasia,0,0,0,0,0,0,0,0
3875,Russia,Eurasia,0,0,0,0,0,0,0,0
3876,Russia,Eurasia,0,0,0,0,0,0,0,0
3877,Russia,Eurasia,0,0,0,0,0,0,0,0
3878,Russia,Eurasia,0,0,0,0,0,0,0,0
3879,Russia,Eurasia,0,0,0,0,0,0,0,0
3880,Russia,Eurasia,0,0,0,0,0,0,0,0
3881,Russia,Eurasia,0,0,0,0,0,0,0,0
3882,Russia,Eurasia,0,0,0,0,0,0,0,0
3883,Russia,Eurasia,0,0,0,0,0,0,0,0
3884,Russia,Eurasia,0,0,0,0,0,0,0,0
4025,Canada,North America,0,0,0,0,0,0,0,0
4026,Canada,North America,0,0,0,0,0,0,0,0
4027,Canada,North America,0,0,0,0,0,0,0,0
4028,Canada,North America,0,0,0,0,0,0,0,0
4029,Canada,North America,0,0,0,0,0,0,0,0
4030,Canada,North America,0,0,0,0,0,0,0,0
4034,Canada,North America,0,0,0,0,0,0,0,0
