fid,UN_cur,UN_ssp1,UN_ssp3,UN_ssp5,pop_cur,pop_ssp1,pop_ssp3,pop_ssp5
10666,0,0,0,0,27233.20703,16514.34375,23043.71289,18084.45313
10667,0,0,0,0,19933.72852,12053.91211,16787.53906,13141.14941
10668,0,0,0,0,14321.78711,8597.926758,12167.60547,9502.250977
10669,0,0,0,0,9696.775391,5817.878906,8396.360352,6464.361328
10670,0,0,0,0,6320.203125,3844.752441,5403.301758,4404.876465
10671,0,0,0,0,8862.462891,5400.927734,7526.497559,6080.957031
10672,0,0,0,0,19433.91211,11928.55469,16227.31836,12686.51758
10673,0,0,0,0,21256.26172,13037.26172,17628.71875,13763.5918
10674,0,0,0,0,22006.28516,13648.88672,18255.27539,14235.79297
10675,0,0,0,0,14523.08594,8782.885742,12242.64453,9593.969727
10676,0,0,0,0,77109.09375,75344.60938,74179.8125,79715.57031
10677,0,0,0,0,13592.83203,8248.814453,11549.32227,9200.121094
10680,0,0,0,0,104538.8438,86395.5,95284.71875,92077.39844
10684,0,0,0,0,18945.24023,11851.11719,16733.3125,13270.3125
10686,0,0,0,0,18471.84766,11207.01367,15915.04688,12339.58594
10687,0,0,0,0,18698.80078,11593.89844,16750.58984,12619.76563
10857,0,0,0,0,5322.703125,78416.57813,76088.14063,80552.57813
10976,0.076934769,0.073698752,0.073698752,0.073698752,11831.17578,9052.179688,10359.28711,10634.94922
10985,2890.609923,2640.466453,2957.662552,2237.545631,491325.25,764184.4375,580864,900434.1875
10986,1.932409493,0.049112273,1.954166636,2.040784182,42142.80469,49150.98438,43204.90234,59540.23438
10989,1207.883089,1230.768723,1229.375942,1164.669211,206318.2188,296922.75,234146.5469,356900.8125
10990,10084.12451,9180.085008,9319.49629,9187.681321,0,0,0,811840.8125
10991,12302.94881,14110.37265,14010.37596,19382.70133,0,0,0,0
10992,0,0,0,0,66329.73438,89791.94531,69662.85938,106700.5156
10993,0,0,0,0,180190.75,249925.3125,202145.3906,288934.0313
10994,8592.398801,8661.753479,8650.649713,9664.740055,0,0,0,0
10995,15065.757,15914.51728,15683.85833,18355.17441,0,0,0,0
10996,13719.97531,14735.25548,14654.0895,16775.66416,0,0,0,0
10997,45624.3626,46154.80015,46010.43955,50186.2534,0,0,0,0
10998,2843.897182,4651.945983,4444.068424,6743.271366,1267198.25,1782021.25,1427465,2063916.75
11003,0.006708865,0.06733329,0.06733329,0.266556611,31352.01758,28650.10547,25271.61719,31754.875
11004,11.18742549,3.622303282,3.93775349,13.72089548,626780.75,650522.75,516347.375,708138.875
11005,2031.583426,1852.818898,1917.677566,2473.198251,0,0,0,0
11006,3211.053685,2551.527715,2582.63248,4166.241389,0,0,0,0
11007,2025.760647,2125.802135,2125.802135,2224.311665,0,0,0,119712.3125
11008,26.84145858,26.2918517,25.88205908,27.42104295,186001.9375,154668.125,157886.5625,167027.7813
11009,531.2404639,485.6553337,480.181166,531.6316799,146047.5938,0,125171.8438,0
11010,1364.046523,1349.819225,1346.485599,1367.591416,249187.5,165082.9063,214020.3281,178262.5469
11011,20.23508166,20.22272079,20.22272079,20.23508166,144984.1094,96515.75781,124789.3594,104338.0625
11012,4.678820081,4.459809581,4.459809581,4.532809379,70120.67969,44725.53906,60126.04688,48734.95313
11013,2.289917541,2.28307509,2.28307509,2.495941543,35027.51953,21400.42383,29354.76758,23342.01953
11014,0.048641128,0.043475443,0.043475443,0.049343937,41306.39453,25301.27344,34648.53906,27414.21094
11015,0,0,0,0,36138.67188,21900.42578,30328.46484,23835.10547
11016,0,0,0,0,30280.5918,18402.88672,25484.4375,19956.42188
11017,0.028747939,0.026486419,0.026486419,0.02890593,362624.625,378368.625,355655.1563,397290.7188
11018,33.66277569,34.26922448,34.26922448,34.26922448,85582.03906,0,77495.39063,73096.16406
11019,1.708578421,1.71068888,1.710688848,1.71068888,353960.2188,361964,344396.1563,380568.1563
11020,0,0,0,0,64925.05469,50683.37891,58056.35547,54054.65625
11021,0,0,0,0,29342.5,17897.73633,24625.93945,19396.53906
11022,0.002410014,0.002410014,0.002410014,0.002410014,19696.72656,11896.31836,16702.01953,12898.40234
11023,0,0,0,0,15122.45215,9216.833984,12747.60156,10064.60059
11024,0.117717441,0.117717441,0.117717441,0.117717441,15041.86328,9103.835938,12673.33398,10091.69531
11025,1.580647058,1.580647058,1.580647058,1.580647058,0,0,0,0
11026,256.0487659,256.0487659,256.0487659,256.0487659,0,0,0,0
