UN_cur,UN_ssp1,UN_ssp3,UN_ssp5,pop_cur,pop_ssp1,pop_ssp3,pop_ssp5,lat,lng
0.37209644399999997,0.37209644399999997,0.37209644399999997,0.37209644399999997,62446.796879999994,51587.48438,65470.16406,54720.3125,60.5,32.5
0.0,0.0,0.0,0.0,63115.59375,38094.97656,53294.375,42076.05469,60.5,33.5
0.0,0.0,0.0,0.0,48778.85547,28576.121089999997,40802.68359,32119.20117,60.5,34.5
0.0,0.0,0.0,0.0,23113.75586,13896.140630000002,19236.22656,15188.77539,60.5,35.5
0.0,0.0,0.0,0.0,17150.48242,10304.33984,14394.46289,11293.80566,60.5,36.5
4.812284789,4.812284789,4.812284789,4.812284789,15675.72363,9580.066406,13450.43359,10393.64648,60.5,37.5
0.0,0.0,0.0,0.0,19470.79883,11549.24707,16210.513669999998,12596.64258,60.5,38.5
0.0,0.0,0.0,0.0,23662.54688,14199.011719999999,19834.3125,15420.541019999999,60.5,39.5
0.0,0.0,0.0,0.0,28968.28711,17550.07617,24398.63281,19143.81445,60.5,40.5
0.0,0.0,0.0,0.0,22029.78711,13316.64453,18619.01563,14683.4248,60.5,41.5
0.0,0.0,0.0,0.0,18040.14063,10960.24609,15358.923830000002,12111.25586,60.5,42.5
0.0,0.0,0.0,0.0,12486.34766,7689.829102,10407.38281,8201.027344,60.5,44.5
0.0,0.0,0.0,0.0,24039.13672,14592.705080000002,20338.85742,16048.94434,60.5,45.5
0.0,0.0,0.0,0.0,27233.20703,16514.34375,23043.71289,18084.45313,60.5,46.5
0.0,0.0,0.0,0.0,19933.72852,12053.91211,16787.53906,13141.14941,60.5,47.5
0.0,0.0,0.0,0.0,14321.78711,8597.926758,12167.60547,9502.250977,60.5,48.5
0.0,0.0,0.0,0.0,9696.775391,5817.878906,8396.360352,6464.361328,60.5,49.5
0.0,0.0,0.0,0.0,6320.203125,3844.7524409999996,5403.301758,4404.876465,60.5,50.5
0.0,0.0,0.0,0.0,8862.462891,5400.927734000001,7526.497559,6080.957031,60.5,51.5
0.0,0.0,0.0,0.0,19433.91211,11928.55469,16227.31836,12686.51758,60.5,52.5
0.0,0.0,0.0,0.0,21256.26172,13037.26172,17628.71875,13763.5918,60.5,53.5
0.0,0.0,0.0,0.0,22006.28516,13648.886719999999,18255.27539,14235.792969999999,60.5,54.5
0.0,0.0,0.0,0.0,14523.08594,8782.885742,12242.64453,9593.969727,60.5,55.5
